cod_cliente_ficticio,tipo_pessoa,produto,qtd_cotas_total,qtd_cotas_contempladas,qtd_cotas_nao_contempladas,vl_saldo_devedor_total,tempo_relacionamento_anos,nm_uf,vl_renda_mensal,dt_ultima_compra,tempo_medio_permanencia_meses,situacao_adimplencia,teve_cotas_canceladas,faixa_renda,recencia_dias,faixa_recencia,inadimplente_flag,cancelamento_flag,tem_veiculos_row,tem_imoveis_row,recencia_meses,elegivel,score_capacidade_veiculos,score_capacidade_imoveis,score_recencia,score_engajamento,score_relacionamento,score_afinidade_veiculos,score_afinidade_imoveis,score_veiculos,score_imoveis,produto_recomendado,score_conquiste,segmento_conquiste,score_produto_atual,segmento_produto_atual
CLI015972,FISICA,IMÓVEIS,1,0,1,264027.68,0,SANTA CATARINA,8000.0,2026-07-07,60,ADIMPLENTE,NÃO,5 a 10 mil,73,Até 3 meses,False,False,False,True,2.4,True,10,5,20,5,5,10,15,50,50,AMBOS,50,Nutrição,50.0,Nutrição
CLI015973,FISICA,IMÓVEIS,1,1,0,37458.64,4,PARANA,2000.0,2022-02-07,25,INADIMPLENTE,NÃO,Até 5 mil,1684,2 a 5 anos,True,False,False,True,55.3,False,5,5,0,5,12,10,15,32,37,Não ofertar,37,Não prioritário,37.0,Não prioritário
CLI015974,FISICA,IMÓVEIS,1,0,1,265732.73,1,PARANA,6000.0,2025-04-30,190,ADIMPLENTE,NÃO,5 a 10 mil,506,1 a 2 anos,False,False,False,True,16.6,True,10,5,10,5,8,10,15,43,43,AMBOS,43,Nutrição,43.0,Nutrição
CLI015975,FISICA,IMÓVEIS,5,5,0,0.0,6,PARANA,7625.0,2022-02-14,64,ADIMPLENTE,SIM,5 a 10 mil,1677,2 a 5 anos,False,True,False,True,55.1,False,10,5,0,20,15,10,15,55,55,Não ofertar,55,Não prioritário,55.0,Não prioritário
CLI015976,FISICA,VEÍCULOS,1,0,1,145664.82,29,SAO PAULO,10000.0,2022-10-28,64,ADIMPLENTE,NÃO,5 a 10 mil,1421,2 a 5 anos,False,False,True,False,46.7,False,20,10,0,5,15,15,10,55,40,Não ofertar,55,Não prioritário,55.0,Não prioritário
CLI015977,FISICA,IMÓVEIS,1,0,1,326733.28,0,RIO GRANDE DO SUL,6500.0,2026-05-07,197,ADIMPLENTE,NÃO,5 a 10 mil,134,3 a 6 meses,False,False,False,True,4.4,True,10,5,20,5,5,10,15,50,50,AMBOS,50,Nutrição,50.0,Nutrição
CLI015978,FISICA,VEÍCULOS,3,0,3,243865.92,0,RIO GRANDE DO SUL,40000.0,2026-04-27,49,ADIMPLENTE,NÃO,30 a 50 mil,144,3 a 6 meses,False,False,True,False,4.7,True,30,30,20,15,5,15,10,85,80,VEÍCULOS,85,Alta prioridade,85.0,Alta prioridade
CLI015979,FISICA,VEÍCULOS,2,2,0,0.0,4,MATO GROSSO,6235.89,2022-11-23,13,ADIMPLENTE,NÃO,5 a 10 mil,1395,2 a 5 anos,False,False,True,False,45.8,False,10,5,0,10,12,15,10,47,37,Não ofertar,47,Não prioritário,47.0,Não prioritário
CLI015980,JURÍDICA,IMÓVEIS,2,0,2,426987.6,4,RIO GRANDE DO SUL,10000000.0,2022-06-24,170,ADIMPLENTE,NÃO,Acima de 500 mil,1547,2 a 5 anos,False,False,False,True,50.8,False,30,30,0,10,12,10,15,62,67,Não ofertar,67,Não prioritário,67.0,Não prioritário
CLI015981,FISICA,VEÍCULOS,1,1,0,40656.82,2,RIO GRANDE DO SUL,10605.29,2024-03-01,64,ADIMPLENTE,NÃO,10 a 20 mil,931,2 a 5 anos,False,False,True,False,30.6,False,20,10,0,5,8,15,10,48,33,Não ofertar,48,Não prioritário,48.0,Não prioritário
CLI015982,FISICA,IMÓVEIS,1,0,1,159415.92,9,PARANA,6000.0,2017-03-31,62,ADIMPLENTE,NÃO,5 a 10 mil,3458,Mais de 5 anos,False,False,False,True,113.6,False,10,5,0,5,15,10,15,40,40,Não ofertar,40,Não prioritário,40.0,Não prioritário
